rank,Car_ID,Year,Make,Model,Car_Score
155,1,2012,Subaru,WRX,6
155,75,2012,Subaru,WRX,6
155,212,2001,Lexus,Is300,6
155,40,2007,Subaru,Legacy,6
155,71,2008,Acura,TL,6
155,64,2004,Subaru,Forester,6
161,66,2010,Volkswagen,Gti,4
161,72,2016,Honda,"Civic si",4
161,174,2006,Acura,Rsx,4
164,197,2010,Audi,A4,2
165,101,2014,Honda,Civic,0
165,0,2015,Chevy,Camaro,0
165,70,2014,Honda,Civic,0
